OTUID	Taxon	Confidence
d33d84f90d2924040cf2eb66c7abe2fc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999999780700265
b6c1a8ba78f65c4a4e96627ccc53ac86	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999998283809095
e94a9da4bdf2d1d6fd8b6216ea53a5ab	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999999993611
547f80f193a2881abc9f7026b92ad352	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999999298343808
694f413b53b76692d2bf1cd02091399c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	0.9709744550780751
a25f3714d9c6e1182774b9f1708c264b	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter	0.9999992114504611
2338e16dcfef0e1b5cb27da81fe59664	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999999986796
d272bf25781448dde9031a24679a9012	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999998104656086
b20b8aa4bd244d965316a278875a1469	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	0.8988556864514188
e41375bd06424fdf1659448e6416bfd2	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group; s__uncultured_Clostridiales	0.875966998649404
8cbb635faeb95440eb5b52abe134ac3d	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999999987597
a08e51322ac5413f32389f362e518aef	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae	0.9959282152298703
74b35ae658465e7512c2b61f7906c907	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__uncultured_bacterium	0.818813402084627
160efa2a41c4cec475f79506e42374ca	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.919293761951654
e8ed0907c731eee94b9cf18c7d2663dd	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999959459304365
6effbd2be9f793ea5295f877770c51ed	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999998980466006
baab695bd57246eb38ec8cbe91b87b20	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	0.8366724793138739
6e408cc3ba68e93a8d2a36d67381d445	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	0.845320096306253
a71cdb983f4aa92f7986bbba79bdf852	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__unidentified	0.9974212839362421
d2db856518fd766a454c3e2f8e8679f0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__uncultured_bacterium	0.9805827025060905
96f1df5356b17e2d4b6eefc878357fcb	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus_Arthromitus	0.9999999920543458
ac1a97cb6ef73c044b75b06c16c343bc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group; s__uncultured_organism	0.9874826698810067
5fb94f804715b4d90f191c413efef44e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalibaculum	0.999999990391812
462b8f1780130500d37b2256e177b1e4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.9985189393445294
fe033ae5b9559770d1b4b40cfc3f41c0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_xylanophilum_group; s__uncultured_bacterium	0.9876832993563905
42690539aa399c812b99bc18ad34b6b7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.933215346747767
2f3367988d9c042e164281d72e718b9b	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999082078077283
a98806e7219f134139c7c08cb513dff0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999996716842814
45ac4dd5ac6a33903b3fae14faff2115	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.9403077756007975
531ab4c63ec669ee00972774562309de	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae	0.9999989547215109
